echt	super	lief	bulgarien	hiess	nochmal	andere	garien	ungarien	 | neutral: 0	 | positiv: 2	 | negativ: 0
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	 | neutral: 0	 | positiv: 0	 | negativ: 0
urteil	verfassungsgerichts	bulgarien	erklaert	 | neutral: 0	 | positiv: 0	 | negativ: 0
vorratsdatenspeicherung	bulgarien	niederlanden	verboten	zumindest	einige	haben	vermutlich	verstanden	 | neutral: 1	 | positiv: 0	 | negativ: 1
ha	saha	trig	esslama	ma	ghadich	tehrag	lel	maroc	kanch	zetla	 | neutral: 0	 | positiv: 0	 | negativ: 0
eu	hein	 | neutral: 0	 | positiv: 0	 | negativ: 0
japan	girl	sofia	alen	vip	gold	dubai	escort	 | neutral: 0	 | positiv: 0	 | negativ: 0
lernen	bulgarisch	schnell	einfach	abwechslungsreiche	tagesaufgaben	 | neutral: 0	 | positiv: 3	 | negativ: 0
totale	kontrolle	kommt	angst	kontrolle	verlust	 | neutral: 0	 | positiv: 0	 | negativ: 0
niederlanden	erklaert	bulgarien	vorratsdatenspeicherung	verfassungswidrig	 | neutral: 0	 | positiv: 0	 | negativ: 1
spon	gerichtsurteile	vorratsdatenspeicherung	vds	bulgarien	denniederlanden	verboten	 | neutral: 0	 | positiv: 0	 | negativ: 1
wenn	peitsche	psychoterror	outsourcen	bulgarien	daemliche	werbung	 | neutral: 1	 | positiv: 0	 | negativ: 0
now	rtv	musgraves	sofia	np	listen	 | neutral: 0	 | positiv: 0	 | negativ: 0
hotels	sehenswuerdigkeit	aquarium	varna	varna	bulgarien	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	niederlanden	haben	gerichte	umstrittene	vorratsdatenspeicherung	verboten	 | neutral: 0	 | positiv: 0	 | negativ: 1
niederlanden	bulgarien	voratsdatenspeicherung	verboten	vds	 | neutral: 0	 | positiv: 0	 | negativ: 1
gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	datenschutz	 | neutral: 0	 | positiv: 0	 | negativ: 1
date	dating	sofia	 | neutral: 0	 | positiv: 0	 | negativ: 0
wasserball	Oesterreich	gewinnt	glatt	gegen	bulgarien	sport	wasserball	schwimmen	osv	 | neutral: 0	 | positiv: 1	 | negativ: 1
kca	votejktid	reuploadjkt	sofia	 | neutral: 0	 | positiv: 0	 | negativ: 0
naechste	bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	 | neutral: 0	 | positiv: 0	 | negativ: 0
sofiavalentine	lesliefox	maxcortes	rob	 | neutral: 0	 | positiv: 0	 | negativ: 0
prinzipiell	waere	gut	wenn	religion	komplett	wegfallen	wuerde	damit	viele	vorschubguende	kriege	 | neutral: 2	 | positiv: 3	 | negativ: 1
kangen	sofi	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	vds	datenschutz	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	vorratsdatenspeicherung	verfassungswidrig	anonops	anonymous	 | neutral: 0	 | positiv: 0	 | negativ: 1
essen	bulgaria	yoghurtbot	 | neutral: 0	 | positiv: 0	 | negativ: 0
verfassungsgerichtsurteil	bulgarien	erklaert	vorratsdatenspeicherung	verfassungswidrig	vds	 | neutral: 0	 | positiv: 0	 | negativ: 1
sims	folge	hd	sofia	kuendigen	 | neutral: 0	 | positiv: 0	 | negativ: 0
weil	wechseln	ort	weil	woanders	besseren	ueberhaupt	erst	job	gibt	 | neutral: 0	 | positiv: 1	 | negativ: 0
wenn	leute	arbeiten	umziehen	dann	armutsmigration	 | neutral: 1	 | positiv: 0	 | negativ: 1
javier	boton	 | neutral: 0	 | positiv: 0	 | negativ: 0
schule	dann	besserer	ort	religion	gehoert	zur	welt	schule	welt	vorbereiten	 | neutral: 0	 | positiv: 1	 | negativ: 0
lathos	kairo	sefh	ster	 | neutral: 0	 | positiv: 0	 | negativ: 0
well	sofia	understand	me	 | neutral: 0	 | positiv: 0	 | negativ: 0
gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	 | neutral: 0	 | positiv: 0	 | negativ: 0
vds	holland	verboten	bulgarien	verboten	eukommision	will	keinen	neuen	anlauf	zur	vds	starten	 | neutral: 0	 | positiv: 0	 | negativ: 2
waehrend	andere	eulaender	vds	mittelfinger	zeigen	moechte	weiterhin	vds	hand	schuetteln	cdu	 | neutral: 0	 | positiv: 0	 | negativ: 0
gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	spiegel	online	 | neutral: 0	 | positiv: 0	 | negativ: 1
gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	zwei	europaeische	gerichte	 | neutral: 0	 | positiv: 0	 | negativ: 1
gerichtsurteile	vorratsdatenspeicherung	bulgarien	niederlanden	verboten	vds	 | neutral: 0	 | positiv: 0	 | negativ: 1
gerichtsurteile	vorratsdatenspeicherung	bulgarien	niederlanden	verboten	datenschutz	 | neutral: 0	 | positiv: 0	 | negativ: 1
geht	ohne	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	datenschutz	 | neutral: 1	 | positiv: 0	 | negativ: 1
gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	news	nachrichten	 | neutral: 0	 | positiv: 0	 | negativ: 1
spiegelonline	bulgarien	niederlanden	haben	gerichte	umstrittene	vorratsdatenspeicherung	verboten	 | neutral: 0	 | positiv: 0	 | negativ: 1
gute	nachricht	alle	denen	datenschutz	herzen	liegt	anonym	app	 | neutral: 1	 | positiv: 0	 | negativ: 0
gerichtsurteile	vorratsdatenspeicherung	bulgarien	niederlanden	verboten	 | neutral: 0	 | positiv: 0	 | negativ: 1
richter	verbieten	vds	bulgarien	niederlanden	deutschland	wird	verhandelt	fue	 | neutral: 0	 | positiv: 0	 | negativ: 1
richter	verbieten	vds	bulgarien	niederlanden	deutschland	wird	verhandelt	 | neutral: 0	 | positiv: 0	 | negativ: 1
spon	gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	netzpolitik	 | neutral: 0	 | positiv: 0	 | negativ: 1
newsinfomedia	gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	zwei	europ	 | neutral: 0	 | positiv: 0	 | negativ: 1
telmi	nachrichten	news	gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	 | neutral: 0	 | positiv: 0	 | negativ: 1
spon	netzpolitik	gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	 | neutral: 0	 | positiv: 0	 | negativ: 1
gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	dienachrichten	 | neutral: 0	 | positiv: 0	 | negativ: 1
bestprice	deutschland	strickmtze	prinzessin	glitzer	sofia	gr	rosa	neuware	 | neutral: 0	 | positiv: 1	 | negativ: 0
sofia	vergara	wallpaper	 | neutral: 0	 | positiv: 0	 | negativ: 0
gerichtsurteile	vorratsdatenspeicherung	bulgarien	denniederlanden	verboten	dienachrichten	spiegel	 | neutral: 0	 | positiv: 0	 | negativ: 1
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	heise	online	 | neutral: 0	 | positiv: 0	 | negativ: 0
fragt	wann	unsere	alt	parteien	schuss	hoeren	 | neutral: 0	 | positiv: 0	 | negativ: 1
stromzaehler	roma	haengt	zwecks	betrugspraevention	metern	hhe	eughgeneralanwaeltin	sieht	diskriminierung	 | neutral: 0	 | positiv: 0	 | negativ: 0
sofia	richie	bae	 | neutral: 0	 | positiv: 0	 | negativ: 0
darf	seinen	glauben	ausueben	freizeit	 | neutral: 1	 | positiv: 0	 | negativ: 0
will	komplett	religionsfreie	schule	glaube	einzelnen	personen	dabei	egal	 | neutral: 1	 | positiv: 1	 | negativ: 0
persoenliche	glaube	schule	nichts	verloren	 | neutral: 0	 | positiv: 0	 | negativ: 1
stromzaehler	roma	haengt	zwecks	betrugspraevention	metern	hoehe	eughgeneralanwaeltin	sieht	diskriminierung	 | neutral: 0	 | positiv: 0	 | negativ: 0
hotels	flughafen	int	flughafen	burgas	burgas	bulgarien	 | neutral: 0	 | positiv: 0	 | negativ: 0
sekunden	doku	osssy	gig	beim	sofia	rocks	festival	osssy	 | neutral: 0	 | positiv: 0	 | negativ: 0
stehe	verkauf	bulgarien	dezent	ueberrascht	gerade	nightsuprise	dariamarchik	 | neutral: 1	 | positiv: 1	 | negativ: 0
vorratsdatenspeicherung	tod	ziehen	bulgarien	holland	bUepf	ndg	 | neutral: 0	 | positiv: 0	 | negativ: 1
deutschland	muessen	unbedingt	haben	soooooooooooooo	nuetzlich	 | neutral: 0	 | positiv: 1	 | negativ: 0
presentation	book	dr	hansgert	poettering	europaeischer	weg	sofia	 | neutral: 0	 | positiv: 0	 | negativ: 0
fakten	bulgarien	erfindungen	space	programm	tal	rosen	 | neutral: 0	 | positiv: 0	 | negativ: 0
geht	rechtsstaat	bulgariens	verfassungsrichter	untersagen	vorratsdatenspeicherung	vds	 | neutral: 0	 | positiv: 0	 | negativ: 0
vielen	lieben	dank	alle	viele	glueckwuensche	gesendet	haben	tierengel	bulgarien	 | neutral: 1	 | positiv: 1	 | negativ: 0
sexy	sexy	sexy	sofia	 | neutral: 0	 | positiv: 3	 | negativ: 0
exols	korea	vs	intl	exols	 | neutral: 0	 | positiv: 0	 | negativ: 0
dticker	no	vds	bulgaria	villa	ddrucker	freeyourdatainitiative	zwangsdigitalisierung	 | neutral: 0	 | positiv: 0	 | negativ: 0
wieder	sofia	 | neutral: 0	 | positiv: 0	 | negativ: 0
lag	sehr	wohl	sehr	richtig	wenn	persoenlich	wirst	 | neutral: 2	 | positiv: 3	 | negativ: 0
nervst	viel	spass	deinem	kreuzzug	gegen	stofftuecher	 | neutral: 0	 | positiv: 1	 | negativ: 1
boconcept	setzt	vielseitige	akzente	fruehjahr	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarischkindersprachkurs	bildwoerterbuch	kinder	zwischen	Ueber	bulgarische	woerter	 | neutral: 0	 | positiv: 0	 | negativ: 0
satzzeichen	haengst	dich	na	bitte	gruen	juso	antifa	 | neutral: 0	 | positiv: 0	 | negativ: 0
verfassungsgericht	bulgarien	vorratsdatenspeicherung	gekippt	vds	 | neutral: 0	 | positiv: 0	 | negativ: 0
beendest	satz	ausrufezeichen	 | neutral: 0	 | positiv: 0	 | negativ: 0
ausserdem	luegst	kippa	kreuz	erlaubt	lehrer	guck	 | neutral: 0	 | positiv: 1	 | negativ: 0
tragen	einschlaegig	rechter	kleidung	mindert	keine	kompetenz	dennoch	recht	verboten	 | neutral: 1	 | positiv: 1	 | negativ: 2
ooooooooooooh	voll	gemein	lass	traenchen	weinen	 | neutral: 1	 | positiv: 0	 | negativ: 2
kippa	kreuz	bereits	verboten	somit	kopftuch	sonderrecht	 | neutral: 0	 | positiv: 0	 | negativ: 1
naechster	rocktrip	bulgarienrumaenien	info	anmeldungen	sofort	beian	franzat	 | neutral: 1	 | positiv: 0	 | negativ: 0
kopftuch	aufhat	kippa	traegt	kreuz	halskettchen	 | neutral: 0	 | positiv: 0	 | negativ: 0
kommst	denn	sonderrechte	wieso	kompetenz	lehrkraft	einschraenken	wenn	 | neutral: 1	 | positiv: 0	 | negativ: 0
breaking	bulgarien	vorratsdatenspeicherung	verfassungswidrig	bulgarien	vorratsdatenspeicherun	yaf	 | neutral: 0	 | positiv: 0	 | negativ: 1
keine	sonderrechte	muslime	denn	waere	rassismus	 | neutral: 0	 | positiv: 0	 | negativ: 0
verletzt	religioesen	gefuehle	 | neutral: 0	 | positiv: 0	 | negativ: 1
frisch	gebloggt	bulgarien	vorratsdatenspeicherung	verfassungswidrig	erklaert	anonnews	 | neutral: 0	 | positiv: 1	 | negativ: 1
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	heise	online	datenschutz	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	vds	 | neutral: 0	 | positiv: 0	 | negativ: 0
freiheit	geheimnis	korrespondenz	bulgarischer	verfassung	verankert	ned	kippt	bg	vds	 | neutral: 0	 | positiv: 0	 | negativ: 0
sehenvideo	sofia	erste	deutsch	ganzer	film	sofia	einmal	folge	prinzessin	videos	 | neutral: 0	 | positiv: 0	 | negativ: 0
fluege	lot	polish	airlines	warschau	anderen	zielen	polen	eur	return	angebot	reisen	citytrip	 | neutral: 0	 | positiv: 1	 | negativ: 0
neue	druckausgabe	sofia	gubaidulina	quasi	hoquetus	viola	kontrabass	klavier	sik	 | neutral: 0	 | positiv: 0	 | negativ: 0
denkst	tatsache	jemand	glauben	schraenkt	faehigkeit	guten	unterricht	zwangslaeufig	 | neutral: 1	 | positiv: 0	 | negativ: 0
nonuniformity	services	twentiethcentury	sofia	alias	sofia	airpot	nnrw	 | neutral: 0	 | positiv: 0	 | negativ: 0
kaidiekmann	sofia	taxidis	erklaert	genau	 | neutral: 0	 | positiv: 1	 | negativ: 0
nowplaying	let	it	go	single	sofia	karlberg	 | neutral: 0	 | positiv: 0	 | negativ: 0
schade	russland	rumanienund	bulgarienwas	revolution	nachbahrland	anzetteln	 | neutral: 0	 | positiv: 0	 | negativ: 1
frisch	gebloggtgtgt	bulgarien	vorratsdatenspeicherung	verfassungswidrig	erklaert	anonnews	 | neutral: 0	 | positiv: 1	 | negativ: 1
linktipp	urteil	verfassungsgerichts	bulgarien	erklaert	vorratsdatenspeicherung	 | neutral: 0	 | positiv: 0	 | negativ: 0
halte	form	religioesitaet	seiten	lehrer	schule	unangebracht	 | neutral: 0	 | positiv: 0	 | negativ: 1
my	top	lastfm	artists	sia	sofia	karlberg	eminem	 | neutral: 0	 | positiv: 1	 | negativ: 0
bulgarien	kippt	verfassungsgericht	vorratsdatenspeicherung	grundrechte	 | neutral: 0	 | positiv: 0	 | negativ: 0
stimmt	bulgarien	rumaenien	braucht	einnahmequelle	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	vorratsdatenspeicherung	verfassungswidrig	bulgarien	vorratsdatenspeicherung	 | neutral: 0	 | positiv: 0	 | negativ: 1
frau	kopftuch	traegt	ganz	sicher	davon	ueberzeugt	religion	beste	sei	wozu	kopftuch	 | neutral: 1	 | positiv: 1	 | negativ: 0
stimmt	bulgarien	rumaenien	braucht	einnahmequelle	kindergeld	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	heise	online	vds	 | neutral: 0	 | positiv: 0	 | negativ: 0
werde	langsam	richtig	sauer	kenne	griechenkroatenbulgaren	usw	deutschen	halt	 | neutral: 0	 | positiv: 1	 | negativ: 2
brandstiftung	schaeuble	bloed	werden	verantwortlichen	griechenland	grexit	 | neutral: 1	 | positiv: 0	 | negativ: 0
kommst	darauf	mensch	seinen	glauben	ausuebt	gleich	missionierenbekehren	will	 | neutral: 2	 | positiv: 0	 | negativ: 0
villa	fanny	sinemoretz	black	sea	sinemoretz	betabookings	sinemoretz	hostel	 | neutral: 0	 | positiv: 0	 | negativ: 0
besser	waere	generelles	verbot	jeglicher	glaubensausuebung	schulen	informieren	bekehren	 | neutral: 0	 | positiv: 1	 | negativ: 0
yay	kein	pauschales	kopftuchverbot	lehrkraefte	selbst	entscheiden	selbst	entscheiden	 | neutral: 0	 | positiv: 0	 | negativ: 1
schon	wieder	justizminister	prueft	bmi	kleine	vds	sehen	uns	dann	gericht	niederlande	bulgarien	 | neutral: 0	 | positiv: 0	 | negativ: 1
meerblick	zimmer	wohnung	verkauf	strand	lozenets	bulgarien	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	vorratsdatenspeicherung	verfassungswidrig	 | neutral: 0	 | positiv: 0	 | negativ: 1
bulgarien	vorratsdatenspeicherung	verfassungswidrig	bulgarien	vorratsdatenspeicherung	fue	anonnewsde	 | neutral: 0	 | positiv: 0	 | negativ: 1
meerblick	wohnung	verkauf	strand	lozenets	bulgarien	 | neutral: 0	 | positiv: 0	 | negativ: 0
derstandard	entscheidung	bulgarien	untersagt	vorratsdatenspeicherung	vds	 | neutral: 0	 | positiv: 0	 | negativ: 0
fehlen	euro	rubys	kastration	kosten	gesamt	euro	bitte	helft	kleine	teilbetraege	 | neutral: 1	 | positiv: 0	 | negativ: 2
meerblick	zimmer	wohnung	verkauf	strand	lozenets	bulgaria	 | neutral: 0	 | positiv: 0	 | negativ: 0
promotions	bulgarien	immobilien	verkauf	rabatt	rabatt	 | neutral: 0	 | positiv: 0	 | negativ: 0
schon	euro	car	parts	ltd	 | neutral: 0	 | positiv: 0	 | negativ: 0
deutsch	lernen	bulgaren	deutsch	lernen	bulgaren	kurs	gjuhe	gjermanisht	trajner	fjalsh	 | neutral: 0	 | positiv: 2	 | negativ: 0
deutsch	lernen	bulgaren	 | neutral: 0	 | positiv: 1	 | negativ: 0
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	gute	woche	vorratsdatenspeicherung	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	deutsche	politiker	wollen	unbedingt	 | neutral: 0	 | positiv: 1	 | negativ: 0
dticker	no	vds	bulgaria	villa	ddrucker	freeyourdatainitiative	zwangsdigitalisier	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarias	cedb	deputy	chair	attend	presentation	hansgert	ptterings	book	sofia	tsvetan	tsvetanov	 | neutral: 0	 | positiv: 0	 | negativ: 0
urteil	verfassungsgerichts	bulgarien	erklaert	vorratsdatenspeicherung	verfassungswidrig	erst	ges	 | neutral: 0	 | positiv: 1	 | negativ: 1
bulgarien	ohne	vorratsdatenspeicherung	tut	schweiz	geltungsbereich	ausdehnen	 | neutral: 1	 | positiv: 0	 | negativ: 0
bulgaren	aufgenommen	wohnung	angezuendet	mieter	verletzt	 | neutral: 0	 | positiv: 0	 | negativ: 1
dticker	no	vds	bulgaria	villa	ddrucker	freeyourdatainitiative	zwangsdigitalisierung	gt	 | neutral: 0	 | positiv: 0	 | negativ: 0
sofia	gei	zein	negro	pues	 | neutral: 0	 | positiv: 0	 | negativ: 0
ach	bulgarien	niemand	will	schne	vorratsdatenspeicherung	verstehe	gar	warum	 | neutral: 0	 | positiv: 0	 | negativ: 2
verallem	spricht	bulgarisch	spielt	cracked	nennt	appleer	xdd	 | neutral: 0	 | positiv: 0	 | negativ: 0
ach	bulgarien	niemand	will	schoene	vorratsdatenspeicherung	verstehe	gar	warum	 | neutral: 0	 | positiv: 0	 | negativ: 2
staat	ohne	vorratsdatenspeicherung	 | neutral: 1	 | positiv: 0	 | negativ: 0
jo	grundy	 | neutral: 0	 | positiv: 0	 | negativ: 0
tagen	meinen	maedels	bulgarien	wird	unvergesslich	 | neutral: 0	 | positiv: 0	 | negativ: 0
wolfgang	uuuuuh	melina	hast	uns	verraten	 | neutral: 0	 | positiv: 0	 | negativ: 1
rereuploadjkt	sofia	kca	votejktid	 | neutral: 0	 | positiv: 0	 | negativ: 0
entscheidung	bulgarien	untersagt	vorratsdatenspeicherung	austria	 | neutral: 0	 | positiv: 0	 | negativ: 0
deutschland	will	unbedingt	leider	hohlkoepfe	uns	 | neutral: 0	 | positiv: 1	 | negativ: 1
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	enjoy	 | neutral: 0	 | positiv: 0	 | negativ: 0
heilsbringer	roboter	beim	offeuropafestival	leipzig	dresden	discover	bulgaria	 | neutral: 0	 | positiv: 0	 | negativ: 0
physics	heinemen	 | neutral: 0	 | positiv: 0	 | negativ: 0
minas	lindas	con	sofia	fuster	 | neutral: 0	 | positiv: 0	 | negativ: 0
nietzsche	kant	scoobe	doo	 | neutral: 0	 | positiv: 0	 | negativ: 0
sprei	sofia	first	ungu	bahan	katun	 | neutral: 0	 | positiv: 0	 | negativ: 0
filosofia	history	hastag	sofia	meifaliani	 | neutral: 0	 | positiv: 0	 | negativ: 0
hairshaft	angel	sofia	andres	 | neutral: 0	 | positiv: 0	 | negativ: 0
photoshoot	dahlhausphoto	 | neutral: 0	 | positiv: 0	 | negativ: 0
blair	waldorf	me	 | neutral: 0	 | positiv: 0	 | negativ: 0
sofia	rozenbaum	 | neutral: 0	 | positiv: 0	 | negativ: 0
eu	wanderley	 | neutral: 0	 | positiv: 0	 | negativ: 0
urteil	verfassungsgerichts	bulgarien	erklaert	vds	verfassungswidrig	netzpolitik	 | neutral: 0	 | positiv: 0	 | negativ: 1
sofia	karlberg	gt	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	keine	gute	woche	vorratsdatenspeicher	 | neutral: 0	 | positiv: 0	 | negativ: 0
keine	gute	woche	vorratsdatenspeicherung	europa	wenige	tage	niederlaendisches	gericht	 | neutral: 0	 | positiv: 0	 | negativ: 0
habe	video	positiv	bewertet	sofia	stark	gesetzt	fall	video	 | neutral: 0	 | positiv: 2	 | negativ: 0
bulgarien	untersagt	vorratsdatenspeicherung	 | neutral: 0	 | positiv: 0	 | negativ: 0
cd	coders	coderpower	votacd	slimecdkca	 | neutral: 0	 | positiv: 0	 | negativ: 0
top	story	urteil	verfassungsgerichts	bulgarien	erklaert	vorratsdatens	see	more	 | neutral: 0	 | positiv: 1	 | negativ: 0
sofia	feb	reuters	two	 | neutral: 0	 | positiv: 0	 | negativ: 0
gestern	niederlande	heute	bulgarien	baba	vds	 | neutral: 0	 | positiv: 0	 | negativ: 0
sicher	meister	schreinerhandwerk	gemacht	nebenbei	fremdsprachen	gelernt	bulgarienrumaenien	 | neutral: 0	 | positiv: 1	 | negativ: 0
gerichtsurteil	bulgarien	erklaert	vorratsdatenspeicherung	verfassungswidrig	vds	 | neutral: 0	 | positiv: 0	 | negativ: 1
good	night	schlaf	guut	traeum	urlaub	bulgarien	 | neutral: 0	 | positiv: 0	 | negativ: 0
bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	datenschutz	 | neutral: 0	 | positiv: 0	 | negativ: 0
sofia	webster	 | neutral: 0	 | positiv: 0	 | negativ: 0
puppensyndikat	silvia	sofia	erkens	 | neutral: 0	 | positiv: 0	 | negativ: 0
heise	bulgarien	verfassungsgericht	untersagt	vorratsdatenspeicherung	vds	 | neutral: 0	 | positiv: 0	 | negativ: 0
varoufakis	fordert	reparationen	deutschland	dann	italien	bulgarien	verlangen	tsipras	heuchler	 | neutral: 0	 | positiv: 0	 | negativ: 0
steinmeier	bulgarien	eingetroffen	erstes	treffen	winterlichen	sofia	amtskollege	 | neutral: 0	 | positiv: 0	 | negativ: 0
roger	wolfe	 | neutral: 0	 | positiv: 0	 | negativ: 0
niederlanden	untersagt	bulgarien	vorratsdatenspeicherung	deutschland	 | neutral: 0	 | positiv: 0	 | negativ: 0
motiviert	maedchen	dazuzu	hungern	wohlmglich	magersuechtig	sindnur	schnheitsideal	entsprechen	 | neutral: 1	 | positiv: 1	 | negativ: 1
urteil	verfassungsgerichts	bulgarien	erklaert	vds	verfassungswidrig	 | neutral: 0	 | positiv: 0	 | negativ: 1
krass	denn	 | neutral: 0	 | positiv: 0	 | negativ: 1
